event_id,Item,Totals,Item Note
21509,Foam insulation & packaging (whole and remnants),32,32 x polystyrene balls
22115,Foam insulation & packaging (whole and remnants),32,32 x polystyrene balls
21501,Foam insulation & packaging (whole and remnants),31,31 x polystyrene balls
23169,Foam insulation & packaging (whole and remnants),30,27 x polystyrene balls
21527,Foam insulation & packaging (whole and remnants),29,29 x polystyrene balls
21466,Foam insulation & packaging (whole and remnants),29,29 x polystyrene balls
21475,Foam insulation & packaging (whole and remnants),29,29 x polystyrene balls
23107,Foam insulation & packaging (whole and remnants),29,A couple of chunks of polystyrene had broken up and there were thousands of balls in this sample
21483,Foam insulation & packaging (whole and remnants),27,27 x polystyrene balls
23918,Foam insulation & packaging (whole and remnants),27,1 x polystyrene ball
21541,Foam insulation & packaging (whole and remnants),26,26 x polystyrene balls
21532,Foam insulation & packaging (whole and remnants),26,26 x polystyrene balls
21905,Foam insulation & packaging (whole and remnants),26,26 x polystyrene balls
22607,Foam insulation & packaging (whole and remnants),26,26 x polystyrene balls
23168,Foam insulation & packaging (whole and remnants),26,25 x polystyrene balls
23172,Foam insulation & packaging (whole and remnants),26,26 x polystyrene balls
22112,Foam insulation & packaging (whole and remnants),24,24 x polystyrene balls
22116,Foam insulation & packaging (whole and remnants),24,24 x polystyrene balls
21976,Foam insulation & packaging (whole and remnants),23,23 x polystyrene balls
21468,Foam insulation & packaging (whole and remnants),22,22 x polystyrene balls
21472,Foam insulation & packaging (whole and remnants),22,22 x polystyrene balls
21381,Foam insulation & packaging (whole and remnants),22,22 x polystyrene balls
22497,Foam insulation & packaging (whole and remnants),21,21 x polystyrene balls
21525,Foam insulation & packaging (whole and remnants),20,20 x polystyrene balls
23115,Foam insulation & packaging (whole and remnants),20,13 x polystyrene balls
21765,Foam insulation & packaging (whole and remnants),18,18 x polystyrene balls
22609,Foam insulation & packaging (whole and remnants),18,18 x polystyrene balls
23158,Foam insulation & packaging (whole and remnants),18,1 x polystyrene ball
21458,Foam insulation & packaging (whole and remnants),17,17 x polystyrene balls
21378,Foam insulation & packaging (whole and remnants),16,16 x polystyrene balls
21388,Foam insulation & packaging (whole and remnants),16,16 x polystyrene balls
21952,Foam insulation & packaging (whole and remnants),16,16 x polystyrene balls
22114,Foam insulation & packaging (whole and remnants),16,16 x polystyrene balls
21871,Foam insulation & packaging (whole and remnants),16,16 x polystyrene balls
21515,Foam insulation & packaging (whole and remnants),15,15 x polystyrene balls
21526,Foam insulation & packaging (whole and remnants),15,15 x polystyrene balls
21469,Foam insulation & packaging (whole and remnants),15,15 x polystyrene balls
21461,Foam insulation & packaging (whole and remnants),15,15 x polystyrene balls
21859,Foam insulation & packaging (whole and remnants),15,15 x polystyrene balls
23219,Foam insulation & packaging (whole and remnants),15,8 x polystyrene balls
21873,Foam insulation & packaging (whole and remnants),14,14 x polystyrene balls
23161,Foam insulation & packaging (whole and remnants),14,14 x polystyrene balls
21497,Foam insulation & packaging (whole and remnants),13,13 x polystyrene balls
21978,Foam insulation & packaging (whole and remnants),13,13 x polystyrene balls
21874,Foam insulation & packaging (whole and remnants),13,13 x polystyrene balls
21884,Foam insulation & packaging (whole and remnants),13,13 x polystyrene balls
23803,Foam insulation & packaging (whole and remnants),13,6 x polystyrene balls
20753,Foam insulation & packaging (whole and remnants),12,12 x polystyrene balls
22103,Foam insulation & packaging (whole and remnants),12,12 x polystyrene balls
22460,Foam insulation & packaging (whole and remnants),12,12 x polystyrene balls
22532,Foam insulation & packaging (whole and remnants),12,12 x polystyrene balls
22619,Foam insulation & packaging (whole and remnants),12,12 x polystyrene balls
23159,Foam insulation & packaging (whole and remnants),12,8 x polystyrene balls
23085,Foam insulation & packaging (whole and remnants),12,7 x polystyrene balls
21463,Foam insulation & packaging (whole and remnants),11,11 x polystyrene balls
22503,Foam insulation & packaging (whole and remnants),11,11 x polystyrene balls
22494,Foam insulation & packaging (whole and remnants),11,11 x polystyrene balls
21544,Foam insulation & packaging (whole and remnants),10,10 x polystyrene balls
21473,Foam insulation & packaging (whole and remnants),10,10 x polystyrene balls
21485,Foam insulation & packaging (whole and remnants),10,10 x polystyrene balls
21493,Foam insulation & packaging (whole and remnants),10,10 x polystyrene balls
22623,Foam insulation & packaging (whole and remnants),10,10 x polystyrene balls
23165,Foam insulation & packaging (whole and remnants),10,7 x polystyrene balls
23167,Foam insulation & packaging (whole and remnants),10,5 x polystyrene balls
23813,Foam insulation & packaging (whole and remnants),10,10 x polystyrene balls
20760,Foam insulation & packaging (whole and remnants),9,9 x polystyrene balls
21442,Foam insulation & packaging (whole and remnants),9,9 x polystyrene balls
21876,Foam insulation & packaging (whole and remnants),9,9 x polystyrene balls
