event_id,item,total,coffee-item
22629,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
22629,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22629,Paper & cardboard packaging,1 ,coffee cup
22630,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
22631,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
22631,Paper & cardboard packaging,3 ,coffee cup
22631,Paper & cardboard packaging,2 ,coffee cup
22636,"Plastic packaging food (wrap, packets, containers)",9 ,coffee lid
22636,Paper & cardboard packaging,2 ,coffee cup
22639,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
22639,Paper & cardboard packaging,1 ,coffee cup
22640,Paper & cardboard packaging,1 ,coffee cup
23080,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23082,"Plastic packaging food (wrap, packets, containers)",3 ,coffee lid
23085,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23085,Paper & cardboard packaging,2 ,coffee cup
23097,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23097,Paper & cardboard packaging,1 ,coffee cup
23101,Paper & cardboard packaging,1 ,coffee cup
23101,Paper & cardboard packaging,1 ,coffee cup
23114,Paper & cardboard packaging,1 ,coffee cup
23115,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23119,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23119,Paper & cardboard packaging,2 ,coffee cup
23124,"Plastic packaging food (wrap, packets, containers)",2 ,coffee lid
23124,Paper & cardboard packaging,2 ,coffee cup
23166,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23167,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23167,Paper & cardboard packaging,1 ,coffee cup
23210,Paper & cardboard packaging,1 ,coffee cup
23212,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23213,Paper & cardboard packaging,1 ,coffee cup
23215,Paper & cardboard packaging,1 ,coffee cup
23220,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23222,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23222,Paper & cardboard packaging,1 ,coffee cup
23223,Paper & cardboard packaging,1 ,coffee cup
23224,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23225,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23225,Paper & cardboard packaging,1 ,coffee cup
23233,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23233,Paper & cardboard packaging,1 ,coffee cup
23773,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23778,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23778,Paper & cardboard packaging,1 ,coffee cup
23781,Paper & cardboard packaging,1 ,coffee cup
23782,Paper & cardboard packaging,1 ,coffee cup
23782,Paper & cardboard packaging,1 ,coffee cup
23785,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23786,Paper & cardboard packaging,3 ,coffee cup
23802,Paper & cardboard packaging,1 ,coffee cup
23803,"Plastic packaging food (wrap, packets, containers)",1 ,coffee lid
23804,Paper & cardboard packaging,1 ,coffee cup
23806,Paper & cardboard packaging,1 ,coffee cup
